N_MEASUREMENT,LATITUDE,LONGITUDE,PRES,TEMP,PSAL
588,,,,,
589,,,,,
590,19.37,-59.81700000000001,,,
591,19.368,-59.81700000000001,,,
592,19.368,-59.815,,,
593,19.372,-59.809000000000026,,,
594,19.367,-59.81200000000001,,,
595,19.368,-59.807000000000016,,,
596,19.366,-59.803999999999974,,,
597,19.371,-59.807000000000016,,,
598,19.372,-59.81,,,
599,19.371,-59.80799999999999,,,
600,19.374,-59.80099999999999,,,
601,19.376,-59.80500000000001,,,
602,,,,,
603,,,,,
604,,,,,
605,,,,,
606,,,10.0,,
607,,,610.0,,
608,,,,,
609,,,529.0,12.996,35.713
610,,,574.0,11.939,35.564
611,,,548.0,12.415,35.637
612,,,628.0,10.508,35.344
613,,,556.0,12.243,35.609
614,,,554.0,12.173,35.599
615,,,556.0,12.223,35.606
616,,,554.0,12.215,35.606
617,,,560.0,12.125,35.592
618,,,553.0,12.435,35.639
619,,,555.0,12.475,35.642
620,,,558.0,12.123,35.592
621,,,561.0,12.099,35.589
622,,,557.0,11.999,35.579
623,,,561.0,12.229,35.608
624,,,557.0,12.279,35.62
625,,,562.0,11.97,35.569
626,,,566.0,12.009,35.574
627,,,563.0,12.291,35.617
628,,,561.0,12.241,35.609
629,,,570.0,11.734,35.534
630,,,570.0,12.128,35.594
631,,,563.0,12.124,35.595
632,,,562.0,12.092,35.593
633,,,565.0,11.924,35.565
634,,,568.0,11.959,35.567
635,,,566.0,12.234,35.607
636,,,,,
637,,,494.0,,
638,,,659.0,,
639,,,562.1111,12.117852,35.59122
640,,,1980.0,,
641,,,,,
642,,,,,
643,,,1970.0,,
644,,,1980.0,,
645,,,1981.0,3.711,34.977
646,,,1981.0,3.711,34.977
647,,,1863.0,3.861,34.981
648,,,1638.0,4.223,34.997
649,,,1513.0,4.567,35.013
650,,,1288.0,5.211,35.005
651,,,1163.0,5.561,34.952
652,,,988.0,5.772,34.805
653,,,863.0,6.377,34.794
654,,,638.0,10.381,35.32
655,,,513.0,13.071,35.733
656,,,346.0,16.951,36.371
657,,,276.0,18.434,36.604
658,,,206.0,20.101,36.798
659,,,135.0,23.855,37.181
660,,,85.0,25.781,37.215
661,,,15.0,28.6,35.275
662,,,6.0,28.595,35.271
663,,,,,
664,,,,,
665,,,,,
666,19.347,-59.73200000000003,,,
667,19.35,-59.72500000000002,,,
668,19.354,-59.721000000000004,,,
669,19.347,-59.72199999999998,,,
670,19.346,-59.71300000000002,,,
671,19.347,-59.70999999999998,,,
672,19.344,-59.709,,,
673,19.346,-59.70400000000001,,,
674,19.347,-59.704999999999984,,,
675,19.344,-59.69999999999999,,,
676,19.342,-59.69400000000002,,,
677,19.339,-59.68599999999998,,,
678,19.334,-59.685,,,
679,,,,,
680,,,,,
681,,,,,
682,,,,,
683,,,20.0,,
684,,,610.0,,
685,,,,,
686,,,636.0,10.61,35.372
687,,,557.0,12.017,35.576
688,,,608.0,11.092,35.435
689,,,601.0,11.512,35.497
690,,,593.0,11.579,35.512
691,,,605.0,11.107,35.439
692,,,613.0,10.836,35.397
693,,,614.0,11.038,35.426
694,,,608.0,11.239,35.458
695,,,607.0,10.966,35.424
696,,,615.0,10.908,35.407
697,,,614.0,10.941,35.415
698,,,613.0,11.163,35.447
699,,,608.0,11.14,35.446
700,,,621.0,10.831,35.396
701,,,619.0,11.037,35.427
702,,,616.0,10.973,35.42
703,,,611.0,10.94,35.415
704,,,630.0,10.261,35.295
705,,,639.0,10.225,35.296
706,,,634.0,10.392,35.329
707,,,620.0,10.953,35.412
708,,,625.0,10.451,35.341
709,,,650.0,9.862,35.237
710,,,608.0,11.257,35.456
711,,,620.0,11.125,35.452
712,,,526.0,12.633,35.664
713,,,,,
714,,,487.0,,
715,,,658.0,,
716,,,611.5185,11.00326,35.42189
717,,,1980.0,,
718,,,,,
719,,,,,
720,,,1970.0,,
721,,,1980.0,,
722,,,1983.0,3.65,34.973
723,,,1983.0,3.65,34.973
724,,,1813.0,3.912,34.981
725,,,1638.0,4.256,34.996
726,,,1463.0,4.711,35.017
727,,,1288.0,5.192,35.004
728,,,1114.0,5.596,34.909
729,,,988.0,5.891,34.824
730,,,763.0,7.842,34.951
731,,,638.0,10.444,35.333
732,,,463.0,14.36,35.942
733,,,345.0,16.957,36.373
734,,,256.0,18.765,36.655
735,,,206.0,20.202,36.846
736,,,115.0,24.375,37.213
737,,,85.0,25.81,37.231
738,,,16.0,28.64,35.086
739,,,4.0,28.638,35.085
740,,,,,
741,,,,,
742,,,,,
743,19.242,-59.53399999999999,,,
744,19.241,-59.54000000000002,,,
745,19.233,-59.541,,,
746,19.227,-59.53899999999999,,,
747,19.226,-59.545000000000016,,,
748,19.22,-59.547000000000025,,,
749,19.217,-59.548,,,
750,19.215,-59.54899999999998,,,
751,19.211,-59.553999999999974,,,
